ID;URL's de las imágenes;Precio Final;Cantidad;Estado;Nombre;Descripción;Categorias;Precio Base;Precio Venta;Cantidad mínima;Nombre de la imagen;Folder
;http://localhost:8888/joyeria/imgtemp/IMG_3239.JPG;;200;1;Juego cartier sencillo ;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3239.JPG;acero_20160731
;http://localhost:8888/joyeria/imgtemp/IMG_3240.JPG;;200;1;Arracada mk con zirconias cuadros;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3240.JPG;acero_20160732
;http://localhost:8888/joyeria/imgtemp/IMG_3241.JPG;;200;1;Arracada cartier tornillo;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3241.JPG;acero_20160733
;http://localhost:8888/joyeria/imgtemp/IMG_3242.JPG;;200;1;Pulso channel clasico ;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3242.JPG;acero_20160734
;http://localhost:8888/joyeria/imgtemp/IMG_3243.JPG;;200;1;Pulso tiffany numeros romanos;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3243.JPG;acero_20160735
;http://localhost:8888/joyeria/imgtemp/IMG_3244.JPG;;200;1;Juego cartier zirconia cambiante;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3244.JPG;acero_20160736
;http://localhost:8888/joyeria/imgtemp/IMG_3245.JPG;;200;1;Broquel cartier madre perla;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3245.JPG;acero_20160737
;http://localhost:8888/joyeria/imgtemp/IMG_3246.JPG;;200;1;Broquel bvlgari clasico 8mm ;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3246.JPG;acero_20160738
;http://localhost:8888/joyeria/imgtemp/IMG_3247.JPG;;200;1;Broquel bvlgari clasico 10mm;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3247.JPG;acero_20160739
;http://localhost:8888/joyeria/imgtemp/IMG_3248.JPG;;200;1;Arete tiffanny argolla colgante ;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3248.JPG;acero_20160740
;http://localhost:8888/joyeria/imgtemp/IMG_3249.JPG;;200;1;Arete mo¤o de channel con perla ;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3249.JPG;acero_20160741
;http://localhost:8888/joyeria/imgtemp/IMG_3250.JPG;;200;1;Arete trebol de channel;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3250.JPG;acero_20160742
;http://localhost:8888/joyeria/imgtemp/IMG_3251.JPG;;200;1;Broquel bvlgari clasico 6mm;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3251.JPG;acero_20160743
;http://localhost:8888/joyeria/imgtemp/IMG_3252.JPG;;200;1;Broquel cuadro de channel ;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3252.JPG;acero_20160744
;http://localhost:8888/joyeria/imgtemp/IMG_3253.JPG;;200;1;Broquel channel rombo;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3253.JPG;acero_20160745
;http://localhost:8888/joyeria/imgtemp/IMG_3254.JPG;;200;1;Broquel corazon cartier;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3254.JPG;acero_20160746
;http://localhost:8888/joyeria/imgtemp/IMG_3255.JPG;;200;1;Broquel bvlgari pico;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3255.JPG;acero_20160747
;http://localhost:8888/joyeria/imgtemp/IMG_3256.JPG;;200;1;Anillo cartier zirconia colgante;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3256.JPG;acero_20160748
